
> hospital-dashboard@0.1.0 dev
> next dev --webpack

▲ Next.js 16.1.6 (webpack)
- Local:         http://localhost:3000
- Network:       http://172.21.96.1:3000
- Environments: .env

✓ Starting...
✓ Ready in 2.6s
 GET /login 200 in 4.5s (compile: 3.1s, proxy.ts: 1169ms, render: 256ms)
 GET /api/auth/csrf 200 in 3.7s (compile: 3.6s, proxy.ts: 68ms, render: 36ms)
 GET /api/auth/csrf 200 in 58ms (compile: 13ms, proxy.ts: 12ms, render: 34ms)
 POST /api/auth/callback/credentials?json=true 200 in 80ms (compile: 7ms, proxy.ts: 9ms, render: 65ms)
 GET /api/products 200 in 1090ms (compile: 842ms, proxy.ts: 9ms, render: 239ms)
 GET /api/auth/csrf 200 in 45ms (compile: 19ms, proxy.ts: 12ms, render: 15ms)
 POST /api/auth/callback/credentials?json=true 200 in 77ms (compile: 7ms, proxy.ts: 8ms, render: 63ms)
 GET /api/auth/csrf 200 in 38ms (compile: 5ms, proxy.ts: 7ms, render: 26ms)
 POST /api/auth/callback/credentials?json=true 200 in 68ms (compile: 5ms, proxy.ts: 6ms, render: 56ms)
 GET /api/products 200 in 252ms (compile: 3ms, proxy.ts: 7ms, render: 242ms)
 POST /api/sales 403 in 571ms (compile: 540ms, proxy.ts: 6ms, render: 24ms)
 POST /api/sales 500 in 111ms (compile: 2ms, proxy.ts: 60ms, render: 49ms)
 GET /api/invoices 200 in 635ms (compile: 607ms, proxy.ts: 6ms, render: 21ms)
 GET /api/auth/csrf 200 in 53ms (compile: 18ms, proxy.ts: 6ms, render: 29ms)
 POST /api/auth/callback/credentials?json=true 200 in 93ms (compile: 8ms, proxy.ts: 20ms, render: 65ms)
 GET /api/products 200 in 258ms (compile: 6ms, proxy.ts: 8ms, render: 244ms)
 POST /api/sales 500 in 28ms (compile: 5ms, proxy.ts: 6ms, render: 17ms)
 GET /api/auth/csrf 200 in 27ms (compile: 10ms, proxy.ts: 5ms, render: 12ms)
 POST /api/auth/callback/credentials?json=true 200 in 74ms (compile: 8ms, proxy.ts: 6ms, render: 60ms)
 GET /api/auth/session 200 in 25ms (compile: 5ms, proxy.ts: 6ms, render: 15ms)
 GET /api/auth/csrf 200 in 124ms (compile: 95ms, proxy.ts: 6ms, render: 22ms)
 POST /api/auth/callback/credentials?json=true 200 in 78ms (compile: 5ms, proxy.ts: 6ms, render: 66ms)
 GET /api/auth/session 200 in 20ms (compile: 4ms, proxy.ts: 5ms, render: 10ms)
 GET /api/auth/csrf 200 in 26ms (compile: 10ms, proxy.ts: 5ms, render: 12ms)
 POST /api/auth/callback/credentials?json=true 200 in 62ms (compile: 5ms, proxy.ts: 6ms, render: 52ms)
 GET /api/auth/csrf 200 in 19ms (compile: 4ms, proxy.ts: 5ms, render: 10ms)
 POST /api/auth/callback/credentials?json=true 200 in 57ms (compile: 5ms, proxy.ts: 6ms, render: 47ms)
 GET /api/products 200 in 268ms (compile: 11ms, proxy.ts: 6ms, render: 252ms)
 POST /api/sales 403 in 38ms (compile: 5ms, proxy.ts: 6ms, render: 26ms)
 POST /api/sales 200 in 39ms (compile: 2ms, proxy.ts: 6ms, render: 31ms)
 GET /api/invoices 200 in 356ms (compile: 9ms, proxy.ts: 259ms, render: 87ms)
 DELETE /api/invoices/1 200 in 1286ms (compile: 1008ms, proxy.ts: 245ms, render: 33ms)
 GET /api/auth/csrf 200 in 47ms (compile: 15ms, proxy.ts: 7ms, render: 26ms)
 POST /api/auth/callback/credentials?json=true 200 in 56ms (compile: 6ms, proxy.ts: 5ms, render: 44ms)
 GET /api/auth/csrf 200 in 33ms (compile: 5ms, proxy.ts: 6ms, render: 22ms)
 POST /api/auth/callback/credentials?json=true 200 in 52ms (compile: 5ms, proxy.ts: 6ms, render: 41ms)
 POST /api/products 200 in 39ms (compile: 5ms, proxy.ts: 6ms, render: 28ms)
 POST /api/sales 200 in 437ms (compile: 15ms, proxy.ts: 264ms, render: 158ms)
